benchmark,trial_index,average_time,normalized_time,seed_time,proposal_kind,return_code,bw_scale,ipc_scale,mpki_scale,llc_mpki_scale,mem_bound_scale,queue_scale,dup_rate_scale,max_dup_scale,dtlb_mpki_scale,bias,score_margin,consecutive_votes_required,consecutive_votes_required_weak
bc_twitter,1,13.52586,1,13.52586,seed,0,2500,1.35,2.6,2.1,32,40,0.14,2.6,0.9,-0.02,0.16,2,3
bc_twitter,2,12.14533,0.8979340316,13.52586,local-mutate,0,3093.291137,1.094573727,3.296444367,1.665975536,35.9728494,47.65237026,0.07950898409,1.847690512,0.8860152892,-0.02417977819,0.1778068415,1,3
bc_twitter,3,14.38469,1.063495408,13.52586,local-mutate,0,2670.166661,0.9103411549,2.788076578,1.335238036,32.3579075,37.44990108,0.05728329334,1.915941907,1.08795317,-0.02570330329,0.1592696492,2,3
bc_twitter,4,13.85132,1.024062056,13.52586,local-mutate,0,2166.275336,1.274226443,2.211447359,1.686405081,31.30611176,50.40011345,0.1058712704,1.98873146,1.112080431,-0.02457180978,0.1652104371,2,3
bc_twitter,5,13.99209,1.034469527,13.52586,local-mutate,0,2808.558049,0.7970113863,2.938527721,1.229436444,27.09195397,43.05788178,0.05814291816,1.69192204,1.095846562,-0.02680400293,0.1252277747,1,3
bc_twitter,6,13.62482,1.007316355,13.52586,global-random,0,7489.824989,4.010631521,16.87711254,10.4872483,23.36717535,250.7865681,1.232737118,13.29099065,4.480860631,0.4072573668,0.809379871,4,5
bc_twitter,7,16.95094,1.253224564,13.52586,local-mutate,0,2733.689752,1.078394428,3.158843691,1.876720367,33.52850883,51.67905555,0.04251887238,2.121076184,0.8786028478,-0.02192099404,0.2047422499,2,3
bc_twitter,8,12.83501,0.9489237653,13.52586,global-random,0,3262.311458,0.4108315219,12.88800083,9.512887046,36.50080753,148.1351558,1.412802037,4.450363414,2.190073192,1.68810103,0.8293768129,2,3
bc_twitter,9,14.06921,1.040171198,13.52586,local-mutate,0,2824.051201,1.15132468,2.874443228,2.123099962,42.98193183,59.50058514,0.05982681838,1.833382023,0.7466925536,-0.02739036537,0.1512885212,2,3
bc_twitter,10,14.62496,1.081259158,13.52586,global-random,0,4538.768007,3.915351306,5.298127661,17.50672306,47.36689695,200.5173705,1.328116206,7.670423822,8.493265259,-0.3243045941,0.7814917028,1,3
bc_twitter,11,14.49015,1.071292324,13.52586,local-mutate,0,3706.880208,0.9438750418,3.9579458,2.126492499,45.39899147,49.00211377,0.078163686,1,1.028158804,-0.02416200141,0.1665741716,1,3
bc_twitter,12,14.42284,1.066315931,13.52586,local-mutate,0,4167.44933,1.250749905,3.66025632,2.056815708,47.09285585,51.90634177,0.05209285245,1.53562515,0.5873692373,-0.02049861963,0.1397510128,1,3
bc_twitter,13,12.76595,0.9438179901,13.52586,global-random,0,4862.124681,3.648749829,10.56985422,8.064775056,53.33216688,246.9125219,1.451568023,3.895434986,0.4776242559,-0.5630070114,0.4274272138,1,3
bc_twitter,14,13.91075,1.028455862,13.52586,global-random,0,6552.422722,0.7450653513,8.55038034,6.30373785,27.24970569,74.41582391,1.525524458,3.860435723,1.319495576,0.8671647065,0.980847723,3,4
bc_twitter,15,13.88296,1.026401279,13.52586,local-mutate,0,2574.510795,1.125018035,1.555090342,1.401745322,36.57694542,54.06240109,0.1060914888,2.250350214,1.098140354,-0.02364797721,0.1515235812,1,3
bc_twitter,16,14.11527,1.043576527,13.52586,local-mutate,0,2825.4356,1.302765743,2.65822698,2.220221501,30.43777305,39.79819415,0.09623959581,2.084024359,1.142727562,-0.02570121332,0.1564664941,2,3
bc_twitter,17,14.39449,1.064219946,13.52586,local-mutate,0,3204.673541,0.8768974437,3.640537926,1.880579244,30.61375473,63.60353299,0.1118682931,2.00034742,0.4550495275,-0.03057012844,0.1636178782,2,3
