benchmark,trial_index,average_time,normalized_time,seed_time,proposal_kind,return_code,bw_scale,ipc_scale,mpki_scale,llc_mpki_scale,mem_bound_scale,queue_scale,dup_rate_scale,max_dup_scale,dtlb_mpki_scale,bias,score_margin,consecutive_votes_required,consecutive_votes_required_weak
502,1,958,1,958,seed,0,3200,1.3,3,2.7,35,64,0.18,3,1,-0.05,0.2,2,3
502,2,909,0.9488517745,958,local-mutate,0,3959.412656,1.054033959,3.803589654,2.141968547,39.34530403,76.24379241,0.1022258367,2.13195059,0.9844614325,-0.06044944547,0.2222585519,1,3
502,3,929,0.9697286013,958,local-mutate,0,3417.813327,0.8766248159,3.217011436,1.716734618,35.39146133,59.91984172,0.07364994858,2.210702201,1.208836856,-0.06425825822,0.1990870615,2,3
502,4,718,0.7494780793,958,local-mutate,0,2772.832429,1.227032871,2.55167003,2.168235104,34.24105974,80.64018152,0.1361202048,2.294690147,1.235644923,-0.06142952446,0.2065130463,2,3
502,5,732,0.764091858,958,local-mutate,0,2517.597113,0.8934612128,2.274618432,1.600087876,25.78770461,72.86511424,0.09954127847,2.101237632,1.528277511,-0.06809645401,0.1454452991,2,3
502,6,720,0.751565762,958,global-random,0,7489.824989,4.010631521,16.87711254,10.4872483,23.36717535,250.7865681,1.232737118,13.29099065,4.480860631,0.4072573668,0.809379871,4,5
502,7,963,1.005219207,958,local-mutate,0,2450.48502,1.208895644,2.445157836,2.442515446,31.91439357,87.4543784,0.07279275017,2.63421422,1.225307466,-0.05569100878,0.2377970689,3,4
502,8,714,0.745302714,958,global-random,0,3262.311458,0.4108315219,12.88800083,9.512887046,36.50080753,148.1351558,1.412802037,4.450363414,2.190073192,1.68810103,0.8293768129,2,3
502,9,949,0.990605428,958,local-mutate,0,2978.359999,0.4321321251,11.23811677,12.12311327,43.61275927,184.967262,1.063067927,4.415899866,1.845692015,1.463955239,0.7056825851,3,4
502,10,723,0.754697286,958,global-random,0,4538.768007,3.915351306,5.298127661,17.50672306,47.36689695,200.5173705,1.328116206,7.670423822,8.493265259,-0.3243045941,0.7814917028,1,3
502,11,894,0.9331941545,958,local-mutate,1,4036.511648,0.3331002889,16.34022221,7.54677957,41.03243914,176.4747824,0.8023603908,3.162651636,2.156042592,1.335306637,0.9216804471,1,4
502,12,731,0.7630480167,958,local-mutate,1,2816.067065,0.3944459206,11.452897,8.625362364,33.68241849,143.4105146,1.364912599,3.871627991,1.47071884,1.283673322,0.735077826,3,4
502,13,936,0.9770354906,958,rf-surrogate,1,3875.63512,0.3004263007,15.66810472,9.21222223,29.31344015,146.1119851,1.290850038,6.100619376,2.801455633,1.713538898,0.8356453613,2,3
502,14,943,0.98434238,958,rf-surrogate,1,2481.051395,1.89324474,10.29334959,12.09755096,5.33278311,102.089385,1.993263115,2.167932158,6.664573253,-1.610615782,1.253452693,5,6
502,15,915,0.9551148225,958,rf-surrogate,1,4891.874563,3.97157706,19.77511918,15.1065215,20.37176295,186.8353136,1.63580834,12.88868925,5.41062733,-0.04386728182,0.3730218162,5,7
502,16,731,0.7630480167,958,rf-surrogate,1,2889.886307,0.3792584683,19.19164565,9.062433483,39.96016157,188.0121747,1.5228436,4.57512761,2.534319487,1.388910803,0.785014533,1,2
502,17,938,0.9791231733,958,rf-surrogate,1,4037.756352,0.395710556,13.62888013,9.815802573,29.99007368,205.2183221,1.927699116,5.136678014,2.662913114,1.83394659,0.8183993433,1,2
505,1,807,1,807,seed,0,1500,1.7,1.5,1.2,25,28,0.1,2,0.8,0.05,0.15,2,3
