benchmark,trial_index,average_time,normalized_time,seed_time,proposal_kind,return_code,bw_scale,ipc_scale,mpki_scale,llc_mpki_scale,mem_bound_scale,queue_scale,dup_rate_scale,max_dup_scale,dtlb_mpki_scale,bias,score_margin,consecutive_votes_required,consecutive_votes_required_weak
bc_twitter,1,13.10234,1,13.10234,seed,0,2500,1.35,2.6,2.1,32,40,0.14,2.6,0.9,-0.02,0.16,2,3
bc_twitter,2,13.31881,1.016521476,13.10234,local-mutate,0,3093.291137,1.094573727,3.296444367,1.665975536,35.9728494,47.65237026,0.07950898409,1.847690512,0.8860152892,-0.02417977819,0.1778068415,1,3
bc_twitter,3,13.63095,1.040344702,13.10234,local-mutate,0,2158.030511,1.122775496,2.199035778,1.68309787,28.78429308,31.43591882,0.1008648414,2.696040775,1.105125233,-0.02126016466,0.1433192539,3,4
bc_twitter,4,14.59661,1.114046041,13.10234,local-mutate,0,1750.785199,1.571575907,1.744231813,2.125751905,27.84865789,42.30649026,0.1864189063,2.798467473,1.129633315,-0.02032426401,0.1486650891,3,4
bc_twitter,5,13.63895,1.04095528,13.10234,local-mutate,0,2269.878524,0.9829994501,2.317700899,1.54973256,24.09991261,36.14332848,0.102378475,2.380808516,1.113143213,-0.02217059455,0.1126865748,2,3
bc_twitter,6,12.24465,0.9345391739,13.10234,global-random,0,7489.824989,4.010631521,16.87711254,10.4872483,23.36717535,250.7865681,1.232737118,13.29099065,4.480860631,0.4072573668,0.809379871,4,5
bc_twitter,7,12.81141,0.9777955693,13.10234,local-mutate,0,6619.117602,3.951348893,16.17262557,11.81387844,21.77938523,256,0.6592285488,15.25753558,4.443373562,0.4453018219,0.931990324,5,6
bc_twitter,8,13.38612,1.021658727,13.10234,global-random,0,3262.311458,0.4108315219,12.88800083,9.512887046,36.50080753,148.1351558,1.412802037,4.450363414,2.190073192,1.68810103,0.8293768129,2,3
bc_twitter,9,13.37584,1.020874134,13.10234,local-mutate,0,6837.910923,4.218572894,14.71655409,13.36482798,27.92012183,256,0.9275774369,13.18806541,3.776261322,0.3531817971,0.6886680104,5,6
bc_twitter,10,12.83954,0.9799425141,13.10234,global-random,0,4538.768007,3.915351306,5.298127661,17.50672306,47.36689695,200.5173705,1.328116206,7.670423822,8.493265259,-0.3243045941,0.7814917028,1,3
