benchmark,trial_index,average_time,normalized_time,seed_time,proposal_kind,return_code,bw_scale,ipc_scale,mpki_scale,llc_mpki_scale,mem_bound_scale,queue_scale,dup_rate_scale,max_dup_scale,dtlb_mpki_scale,bias,score_margin,consecutive_votes_required,consecutive_votes_required_weak
505,19,808,0.9926289926,814,rf-surrogate,1,8000,5.205368747,15.79663321,13.19178513,25.16735049,226.4120694,0.9133705613,13.83018,3.406480488,0.247616966,0.5497565024,3,4
505,20,808,0.9926289926,814,rf-surrogate,1,7712.885809,4.914869128,14.13326293,11.35629015,29.66156619,234.9698944,1.244475791,14.64284548,4.164766822,0.3578109295,0.6743351185,4,5
507,1,617,1,617,seed,0,2300,1.5,2,1.7,30,36,0.11,2.2,0.9,0.05,0.17,2,3
507,2,626,1.01458671,617,local-mutate,0,2845.827846,1.21619303,2.535726436,1.348646863,33.72454631,42.88713323,0.06247134464,1.563430433,0.8860152892,0.03955055453,0.1889197691,1,3
507,3,617,1,617,local-mutate,0,1985.38807,1.247528329,1.691565983,1.362507799,26.98527476,28.29232694,0.07925094679,2.281265271,1.105125233,0.04684958835,0.1522767073,3,4
507,4,623,1.009724473,617,local-mutate,0,1610.722383,1.746195453,1.341716779,1.72084678,26.10811677,38.07584123,0.1464719978,2.367934016,1.129633315,0.04918933997,0.1579566571,3,4
507,5,627,1.016207455,617,local-mutate,0,2088.288242,1.092221611,1.782846845,1.254545406,22.59366808,32.52899563,0.08044023038,2.014530283,1.113143213,0.04457351362,0.1197294857,2,3
507,6,633,1.025931929,617,global-random,0,7489.824989,4.010631521,16.87711254,10.4872483,23.36717535,250.7865681,1.232737118,13.29099065,4.480860631,0.4072573668,0.809379871,4,5
507,7,622,1.008103728,617,local-mutate,0,2845.827846,1.21619303,2.535726436,1.348646863,33.72454631,42.88713323,0.06247134464,1.563430433,0.8860152892,0.03955055453,0.1889197691,1,3
507,8,622,1.008103728,617,local-mutate,0,1985.38807,1.247528329,1.691565983,1.362507799,26.98527476,28.29232694,0.07925094679,2.281265271,1.105125233,0.04684958835,0.1522767073,3,4
507,9,626,1.01458671,617,local-mutate,0,1610.722383,1.746195453,1.341716779,1.72084678,26.10811677,38.07584123,0.1464719978,2.367934016,1.129633315,0.04918933997,0.1579566571,3,4
507,10,613,0.9935170178,617,local-mutate,0,2088.288242,1.092221611,1.782846845,1.254545406,22.59366808,32.52899563,0.08044023038,2.014530283,1.113143213,0.04457351362,0.1197294857,2,3
507,11,623,1.009724473,617,local-mutate,1,2583.873405,0.885568207,2.260405939,0.9952580741,25.39870685,38.7520936,0.04568372141,1.431626342,1.095846562,0.03525814362,0.1330545106,1,4
507,12,627,1.016207455,617,local-mutate,1,1802.635897,1.048659453,1.584323399,1.13749997,20.84911088,31.49151176,0.0777135657,1.752556163,0.7475187132,0.03389479023,0.1061164102,3,4
507,13,631,1.022690438,617,local-mutate,1,2311.614436,0.8946662554,1.917246549,1.026352093,22.21158598,34.65288728,0.008302810165,2.108142415,0.8139696388,0.04041368495,0.1342177676,3,4
507,14,624,1.011345219,617,local-mutate,1,2703.38,1.241711129,1.771805662,1.108239579,23.98124602,49.34281723,0.1185365709,1.213018372,1.113690884,0.04354181179,0.1071292247,2,4
507,15,633,1.025931929,617,local-mutate,1,1792.225387,0.4766128297,1.910563296,1.401120409,19.76784854,24.21998285,0.1157040014,1.794110228,1.511602104,0.04964955666,0.1058106895,2,3
507,16,633,1.025931929,617,global-random,1,3557.459054,1.077019486,8.75397299,15.23112437,28.6520331,33.32373717,1.834080672,6.634833143,6.09064985,1.876243813,0.643957819,2,7
507,17,632,1.024311183,617,local-mutate,1,2057.420481,1.163157314,1.848874671,1.335430623,20.43788313,31.49172111,0.009889140907,2.331900097,0.824442194,0.04688454059,0.1044020682,1,2
507,18,623,1.009724473,617,rf-surrogate,1,2042.8308,1.193253144,1.737686602,1.508086394,25.42191704,35.92329347,0.1141593765,2.158479986,0.9094591882,0.0458304384,0.0898674299,1,2
507,19,635,1.02917342,617,rf-surrogate,1,1544.680424,1.296849903,2.097061969,1.113614057,30.55411063,34.10422285,0.05299844925,2.113292029,1.075813711,0.0461991821,0.1124985688,3,4
507,20,633,1.025931929,617,rf-surrogate,1,2201.150775,1.209817171,1.777982214,1.168731607,24.66796832,29.95358658,0.1099131106,1.882889938,1.17595531,0.03099956792,0.1494379777,1,4
507,21,634,1.027552674,617,rf-surrogate,1,1641.244606,1.115769958,1.397293202,1.318415389,25.80440255,28.14634293,0.1054845879,2.025450591,1.09619501,0.04728676139,0.1484890759,2,3
507,22,638,1.034035656,617,rf-surrogate,1,2942.744834,0.7643195118,1.667416471,1.359655554,26.6784836,24.63025739,0.06229530761,1.424933799,1.129950329,0.04464008758,0.166110124,2,3
527,1,430,1,430,seed,0,2100,1.4,1.8,1.5,28,36,0.12,2.2,0.9,0,0.17,2,3
527,2,438,1.018604651,430,local-mutate,0,2598.364555,1.135113494,2.282153793,1.189982526,31.47624323,42.88713323,0.06815055779,1.563430433,0.8860152892,-2.089889094e-07,0.1889197691,1,3
527,3,440,1.023255814,430,local-mutate,0,1812.745629,1.164359774,1.522409385,1.202212764,25.18625645,28.29232694,0.08645557832,2.281265271,1.105125233,-6.300823305e-08,0.1522767073,3,4
527,4,432,1.004651163,430,local-mutate,0,1470.659567,1.629782422,1.207545101,1.518394218,24.36757565,38.07584123,0.159787634,2.367934016,1.129633315,-1.621320065e-08,0.1579566571,3,4
527,5,434,1.009302326,430,local-mutate,0,1906.69796,1.019406837,1.604562161,1.106951829,21.08742354,32.52899563,0.0877529786,2.014530283,1.113143213,-1.085297275e-07,0.1197294857,2,3
527,6,440,1.023255814,430,global-random,0,7489.824989,4.010631521,16.87711254,10.4872483,23.36717535,250.7865681,1.232737118,13.29099065,4.480860631,0.4072573668,0.809379871,4,5
527,7,452,1.051162791,430,local-mutate,0,1855.870729,1.379306082,1.724864129,1.689749033,26.09741132,39.04204533,0.06417217807,2.525513649,0.8924705619,9.34162478e-08,0.1957527741,3,4
527,8,446,1.037209302,430,global-random,0,3262.311458,0.4108315219,12.88800083,9.512887046,36.50080753,148.1351558,1.412802037,4.450363414,2.190073192,1.68810103,0.8293768129,2,3
527,9,451,1.048837209,430,local-mutate,0,1917.216084,1.472586554,1.56956928,1.911582657,33.4556231,44.95098677,0.09029442758,2.182963232,0.7584782186,-1.327798442e-07,0.1446460012,3,4
527,10,445,1.034883721,430,global-random,0,4538.768007,3.915351306,5.298127661,17.50672306,47.36689695,200.5173705,1.328116206,7.670423822,8.493265259,-0.3243045941,0.7814917028,1,3
527,11,436,1.013953488,430,local-mutate,1,2598.364555,1.135113494,2.282153793,1.189982526,31.47624323,42.88713323,0.06815055779,1.563430433,0.8860152892,-2.089889094e-07,0.1889197691,1,4
527,12,427,0.9930232558,430,local-mutate,1,1812.745629,1.344162411,1.599566517,1.360054365,25.83799596,34.85181148,0.1159323866,1.913906975,0.6043848035,-2.395755353e-07,0.1506712371,3,4
527,13,438,1.018604651,430,local-mutate,1,2006.604682,1.101037315,1.720149654,1.112669686,25.40104896,37.12736502,0.01196620886,2.002843297,0.4419475181,-3.32900659e-07,0.1689037329,4,5
527,14,425,0.988372093,430,local-mutate,1,2346.678097,1.528134407,1.58966039,1.201444021,27.42482255,52.86626687,0.170837745,1.152429597,0.6046821635,-2.62721609e-07,0.1348146843,3,5
527,15,433,1.006976744,430,local-mutate,1,2013.982541,0.6668321302,1.703537688,1.341814915,23.99476422,39.36242273,0.2457304087,1.026336385,0.8211331841,-1.488413553e-07,0.1191422031,3,5
527,16,426,0.9906976744,430,local-mutate,1,2903.583424,1.239004276,2.015471938,0.9531315936,30.82965661,62.98007307,0.09702239675,1,0.5952862689,-4.717105184e-07,0.1498185825,2,6
527,17,433,1.006976744,430,local-mutate,1,2025.681173,1.467186306,1.412648629,1.089352789,25.30723052,51.18014351,0.1650468957,1.00256502,0.4060674562,-5.022971444e-07,0.1194864427,4,5
