benchmark,trial_index,average_time,normalized_time,seed_time,proposal_kind,return_code,bw_scale,ipc_scale,mpki_scale,llc_mpki_scale,mem_bound_scale,queue_scale,dup_rate_scale,max_dup_scale,dtlb_mpki_scale,bias,score_margin,consecutive_votes_required,consecutive_votes_required_weak
bc_twitter,1,14.28505,1,14.28505,seed,0,2500,1.35,2.6,2.1,32,40,0.14,2.6,0.9,-0.02,0.16,2,3
bc_twitter,2,14.20877,0.9946601517,14.28505,local-mutate,0,3093.291137,1.094573727,3.296444367,1.665975536,35.9728494,47.65237026,0.07950898409,1.847690512,0.8860152892,-0.02417977819,0.1778068415,1,3
bc_twitter,3,15.36469,1.075578314,14.28505,local-mutate,0,2670.166661,0.9103411549,2.788076578,1.335238036,32.3579075,37.44990108,0.05728329334,1.915941907,1.08795317,-0.02570330329,0.1592696492,2,3
bc_twitter,4,13.52651,0.9468997308,14.28505,local-mutate,0,2166.275336,1.274226443,2.211447359,1.686405081,31.30611176,50.40011345,0.1058712704,1.98873146,1.112080431,-0.02457180978,0.1652104371,2,3
bc_twitter,5,12.93147,0.9052449939,14.28505,local-mutate,0,1966.872745,0.9278251056,1.971335974,1.244512792,23.57732993,45.5406964,0.07742099437,1.821072614,1.37544976,-0.0272385816,0.1163562392,2,3
bc_twitter,6,13.94491,0.9761890928,14.28505,global-random,0,7489.824989,4.010631521,16.87711254,10.4872483,23.36717535,250.7865681,1.232737118,13.29099065,4.480860631,0.4072573668,0.809379871,4,5
bc_twitter,7,14.53919,1.017790627,14.28505,local-mutate,0,2433.644012,0.7522762841,2.499384372,0.9872989839,26.50449183,54.25305316,0.04396903292,1.294145612,1.354077241,-0.03293114307,0.1293058462,1,3
bc_twitter,8,14.28704,1.000139306,14.28505,local-mutate,0,1697.828558,0.7716587358,1.667322437,0.9974461091,21.20802421,35.79034087,0.05577897368,1.888340778,1.688938041,-0.0289548365,0.1042255587,3,4
bc_twitter,9,13.41798,0.9393022776,14.28505,local-mutate,0,1377.428676,1.08010932,1.322487277,1.259774018,20.5186561,48.16667571,0.1030909792,1.960081722,1.72639319,-0.02768020619,0.1081131917,3,4
bc_twitter,10,13.67578,0.9573491167,14.28505,local-mutate,0,1785.824881,0.6755937545,1.757295061,0.9184104742,17.75661222,41.14980873,0.05661602385,1.667548149,1.701191739,-0.03019477744,0.08194866287,2,3
bc_twitter,11,13.9353,0.9755163615,14.28505,global-random,0,7489.824989,4.010631521,16.87711254,10.4872483,23.36717535,250.7865681,1.232737118,13.29099065,4.480860631,0.4072573668,0.809379871,4,5
bc_twitter,12,13.76267,0.9634316996,14.28505,local-mutate,0,1738.219788,0.9141105794,1.889048171,1.401942858,21.97525989,49.38894259,0.04140228198,2.090519883,1.363942689,-0.02469405552,0.133982686,3,4
bc_twitter,13,14.59753,1.021874617,14.28505,global-random,0,3262.311458,0.4108315219,12.88800083,9.512887046,36.50080753,148.1351558,1.412802037,4.450363414,2.190073192,1.68810103,0.8293768129,2,3
bc_twitter,14,15.44133,1.080943364,14.28505,local-mutate,0,1795.67622,0.9759305536,1.718971325,1.585992714,28.1712237,56.86386781,0.05825570308,1.806970255,1.159165204,-0.03085531622,0.09900273364,3,4
bc_twitter,15,15.43715,1.08065075,14.28505,global-random,0,4538.768007,3.915351306,5.298127661,17.50672306,47.36689695,200.5173705,1.328116206,7.670423822,8.493265259,-0.3243045941,0.7814917028,1,3
bc_twitter,16,14.30242,1.001215957,14.28505,local-mutate,0,2357.024064,0.8000840317,2.366926321,1.588526998,29.75541326,46.83062719,0.07611102522,1,1.596113292,-0.02721855601,0.1090056153,2,3
