benchmark,trial_index,average_time,normalized_time,seed_time,proposal_kind,return_code,bw_scale,ipc_scale,mpki_scale,llc_mpki_scale,mem_bound_scale,queue_scale,dup_rate_scale,max_dup_scale,dtlb_mpki_scale,bias,score_margin,consecutive_votes_required,consecutive_votes_required_weak
502,1,672,1,672,seed,0,3200,1.3,3,2.7,35,64,0.18,3,1,-0.05,0.2,2,3
502,2,761,1.132440476,672,local-mutate,0,3959.412656,1.054033959,3.803589654,2.141968547,39.34530403,76.24379241,0.1022258367,2.13195059,0.9844614325,-0.06044944547,0.2222585519,1,3
502,3,675,1.004464286,672,local-mutate,0,2762.279054,1.081191219,2.537348974,2.163982975,31.48282056,50.29747011,0.1296833675,3.110816279,1.227916926,-0.05315041165,0.1791490674,3,4
502,4,763,1.135416667,672,local-mutate,0,2241.005054,1.513369392,2.012575168,2.733109592,30.45946957,67.69038441,0.239681451,3.229000931,1.255148127,-0.05081066003,0.1858313613,3,4
502,5,671,0.9985119048,672,local-mutate,0,2905.444511,0.946592063,2.674270268,1.992513292,26.35927942,57.82932557,0.1316294679,2.747086749,1.236825792,-0.05542648638,0.1408582185,2,3
502,6,665,0.9895833333,672,global-random,0,7489.824989,4.010631521,16.87711254,10.4872483,23.36717535,250.7865681,1.232737118,13.29099065,4.480860631,0.4072573668,0.809379871,4,5
502,7,777,1.15625,672,local-mutate,0,6619.117602,3.951348893,16.17262557,11.81387844,21.77938523,256,0.6592285488,15.25753558,4.443373562,0.4453018219,0.931990324,5,6
502,8,672,1,672,global-random,0,3262.311458,0.4108315219,12.88800083,9.512887046,36.50080753,148.1351558,1.412802037,4.450363414,2.190073192,1.68810103,0.8293768129,2,3
502,9,776,1.154761905,672,local-mutate,0,6837.910923,4.218572894,14.71655409,13.36482798,27.92012183,256,0.9275774369,13.18806541,3.776261322,0.3531817971,0.6886680104,5,6
502,10,669,0.9955357143,672,global-random,0,4538.768007,3.915351306,5.298127661,17.50672306,47.36689695,200.5173705,1.328116206,7.670423822,8.493265259,-0.3243045941,0.7814917028,1,3
502,11,668,0.994047619,672,local-mutate,1,8000,3.2518014,20,8.319761479,26.26824624,256,0.7000976851,9.445245117,4.411234476,0.3221450939,0.8994579903,3,6
502,12,665,0.9895833333,672,local-mutate,1,6465.308339,3.850671524,14.99781339,9.508818546,21.56289222,242.7879498,1.190951301,11.56259986,3.009071191,0.3096884651,0.7173545085,5,6
502,13,676,1.005952381,672,local-mutate,1,8000,3.285209382,18.14939172,8.579688854,22.97201245,256,0.1272395942,13.9086026,3.276563579,0.3692500227,0.9073216905,5,6
502,14,671,0.9985119048,672,local-mutate,1,8000,4.559556176,16.77259246,9.264219202,24.80225782,256,1.816559079,8.002965243,4.483065235,0.3978309578,0.724201207,4,6
